Date,Ping (ms),Download (Mb/s),Upload (Mb/s),Host,Location,Sponsor
06/03/2022,16.978,98.85,34.55,,,
03/06/2022 16:34:26,16.374,99.27,38.16,,,
03/06/2022 16:35:27,19.151,101.21,36.7,,,
03/06/2022 16:38:34,17.712,104.83,35.38,,,
03/06/2022 16:41:07,17.796,99.84,36.57,speedtest01.ape1.solcon.nl:8080,Apeldoorn,Solcon Internetdiensten B.V.
03/06/2022 16:42:42,18.87,106.29,36.82,speedtest.schlueter-server.de:8080,Ruethen,Schlueter Onlinedienste
